subjectID;age;sex;parentality;babyID_ref;babyID_stim;stim;rank;delay_training_testing_h;nationality;real_baby_status;rated_baby_status;rated_baby_status_binom
Pdad05;32;male;parent;BEV;FAE;FAE_D1;27;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;JOL;JOL_D2;28;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;RAR;RAR_D1;29;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;GAP;GAP_D1;30;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;GAP;GAP_D4;31;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;FAE;FAE_D3;32;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;BEV;BEV_D1;33;3.5;Hungary;familiar;unknown;0
Pdad05;32;male;parent;BEV;RAR;RAR_D3;34;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;RAR;RAR_D4;35;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;JOL;JOL_D1;36;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;RAR;RAR_D2;37;3.5;Hungary;unknown;unknown;0
Pdad05;32;male;parent;BEV;BEV;BEV_D3;38;3.5;Hungary;familiar;unknown;0
Pdad05;32;male;parent;BEV;FAE;FAE_D2;39;3.5;Hungary;unknown;familiar;1
Pdad05;32;male;parent;BEV;FAE;FAE_D4;40;3.5;Hungary;unknown;unknown;0
Pdad06;37;male;parent;JOL;CAE;CAE_D1;1;5;Ireland;unknown;familiar;1
Pdad06;37;male;parent;JOL;MAJ;MAJ_D4;2;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;DUH;DUH_D1;3;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;JOL;JOL_D1;4;5;Ireland;familiar;familiar;1
Pdad06;37;male;parent;JOL;ROM;ROM_D2;5;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;DUH;DUH_D3;6;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;CAE;CAE_D4;7;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;MAJ;MAJ_D1;8;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;CAE;CAE_D3;9;5;Ireland;unknown;familiar;1
Pdad06;37;male;parent;JOL;JOL;JOL_D2;10;5;Ireland;familiar;familiar;1
Pdad06;37;male;parent;JOL;JOL;JOL_D3;11;5;Ireland;familiar;familiar;1
Pdad06;37;male;parent;JOL;CAE;CAE_D2;12;5;Ireland;unknown;unknown;0
Pdad06;37;male;parent;JOL;MAJ;MAJ_D2;13;5;Ireland;unknown;unknown;0
